,mean,std
roc_auc,0.6515911425410872,0.03589908108564918
average_precision,0.15702961811119281,0.05200439183497367
recall,0.425,0.1097306535409801
precision,0.12492821188473362,0.02336898268907563
f1,0.19203424680621567,0.03714057500645704
